Feature,Importance
floor_area_sqm,0.4511751792287148
remaining_lease,0.13908601071707613
storey_range_numeric,0.10783809063135477
Score,0.044402492209005995
town_BUKIT MERAH,0.028497658534035377
region_West,0.026271706183557512
town_QUEENSTOWN,0.019549668254225043
region_North,0.018851999114527625
town_TOA PAYOH,0.014742459069623497
town_BISHAN,0.01356021037635516
town_SENGKANG,0.012620838909174927
town_KALLANG/WHAMPOA,0.011327165507588397
region_East,0.010879490832906402
flat_model_DBSS,0.009790060669137611
town_CLEMENTI,0.009352767429758001
town_CENTRAL AREA,0.008831924833324975
flat_type_2 ROOM,0.007816509485973493
region_North-East,0.003918637993850777
town_GEYLANG,0.0037283034038373473
town_BUKIT BATOK,0.0036838339247886437
flat_type_3 ROOM,0.00360048730184726
flat_type_4 ROOM,0.003287134861611448
town_BEDOK,0.0032323697494877363
town_SERANGOON,0.003008108473912568
flat_model_New Generation,0.0030028800215881873
town_BUKIT TIMAH,0.0028993828276470766
town_CHOA CHU KANG,0.002590458480222377
flat_type_5 ROOM,0.002541921408055582
flat_model_Improved,0.002493866596701552
flat_type_EXECUTIVE,0.002467759266723941
flat_model_Model A,0.0022894848125197004
town_MARINE PARADE,0.002282160057346548
town_JURONG WEST,0.001957479376622485
town_HOUGANG,0.0018769224675368506
flat_model_Premium Apartment,0.00176767365939743
town_PUNGGOL,0.0016452756466717167
town_JURONG EAST,0.0016379667735252608
town_PASIR RIS,0.0015167827856347022
town_SEMBAWANG,0.0014740269426733853
flat_model_Standard,0.0011631954381374834
storey_range_16 TO 18,0.000925254983360938
town_TAMPINES,0.0007687994113777982
town_WOODLANDS,0.0007548857777311652
flat_model_Simplified,0.0007101700952558304
storey_range_04 TO 06,0.0006017901037354874
town_YISHUN,0.0005947461469075814
town_BUKIT PANJANG,0.0005721691205899757
storey_range_10 TO 12,0.0005415599931273845
storey_range_13 TO 15,0.0004626561636277136
storey_range_07 TO 09,0.00044871358972206247
flat_model_Apartment,0.00041439849048406185
flat_model_Maisonette,0.00028654995431137627
storey_range_25 TO 27,0.00011294340736648263
flat_model_Model A2,8.986988449653426e-05
flat_model_Model A-Maisonette,3.926510685426383e-05
storey_range_19 TO 21,1.58835143716224e-05
flat_type_MULTI-GENERATION,0.0
storey_range_22 TO 24,0.0
storey_range_28 TO 30,0.0
flat_model_Improved-Maisonette,0.0
flat_model_3Gen,0.0
flat_model_Adjoined flat,0.0
storey_range_37 TO 39,0.0
storey_range_40 TO 42,0.0
storey_range_43 TO 45,0.0
storey_range_46 TO 48,0.0
storey_range_49 TO 51,0.0
storey_range_31 TO 33,0.0
storey_range_34 TO 36,0.0
flat_model_Multi Generation,0.0
flat_model_Premium Apartment Loft,0.0
flat_model_Premium Maisonette,0.0
flat_model_Type S2,0.0
flat_model_Terrace,0.0
flat_model_Type S1,0.0
