month,town,flat_type,storey_range,floor_area_sqm,flat_model,remaining_lease,resale_price,Score,region,storey_range_numeric
2023-08,KALLANG/WHAMPOA,4 ROOM,07 TO 09,94.0,New Generation,56.5,548888.0,48.51819705,Central,8
2019-12,BUKIT MERAH,4 ROOM,10 TO 12,92.0,Model A,82.0,648000.0,42.73568707,Central,11
2018-05,BUKIT MERAH,5 ROOM,13 TO 15,134.0,Adjoined flat,58.67,672000.0,48.67012863,Central,14
2021-04,QUEENSTOWN,5 ROOM,13 TO 15,99.0,Premium Apartment,94.08,938000.0,43.32528845,Central,14
2017-10,TOA PAYOH,4 ROOM,28 TO 30,91.0,Model A,87.25,768000.0,51.74052312,Central,29
2018-03,KALLANG/WHAMPOA,4 ROOM,13 TO 15,94.0,New Generation,61.83,470000.0,48.51819705,Central,14
2021-08,BISHAN,4 ROOM,13 TO 15,90.0,Simplified,63.58,545000.0,42.38909989,Central,14
2021-02,KALLANG/WHAMPOA,4 ROOM,07 TO 09,84.0,Simplified,65.67,470000.0,45.07670105,Central,8
2022-06,QUEENSTOWN,5 ROOM,04 TO 06,110.0,Improved,78.92,880000.0,47.717416,Central,5
2017-06,TOA PAYOH,5 ROOM,07 TO 09,113.0,DBSS,93.92,850000.0,48.02947885,Central,8
2024-06,KALLANG/WHAMPOA,4 ROOM,04 TO 06,108.0,Model A,71.33,850000.0,54.51927019,Central,5
2023-07,BUKIT MERAH,5 ROOM,04 TO 06,137.0,Model A,60.08,758000.0,44.92281494,Central,5
2024-05,BUKIT MERAH,3 ROOM,04 TO 06,67.0,New Generation,53.67,390000.0,38.03075952,Central,5
2017-12,KALLANG/WHAMPOA,4 ROOM,04 TO 06,91.0,Improved,55.08,375000.0,42.26551075,Central,5
2022-04,BUKIT MERAH,5 ROOM,28 TO 30,110.0,Improved,79.5,901888.0,47.717416,Central,29
2022-10,BUKIT MERAH,5 ROOM,13 TO 15,116.0,Improved,76.83,808000.0,41.01497071,Central,14
2024-04,TOA PAYOH,3 ROOM,01 TO 03,65.0,Improved,48.33,338000.0,49.83261371,Central,2
2021-01,BUKIT TIMAH,5 ROOM,10 TO 12,122.0,Improved,66.58,826000.0,50.16408404,Central,11
2020-03,QUEENSTOWN,EXECUTIVE,13 TO 15,145.0,Apartment,74.58,1030000.0,54.52242442,Central,14
2021-04,BISHAN,4 ROOM,07 TO 09,104.0,Model A,70.33,588000.0,43.24173166,Central,8
