Feature,Mutual Information Score
floor_area_sqm,0.4446173693728577
score,0.22887238078377337
lease_commence_date,0.21953205032882028
flat_type_3 ROOM,0.20375786293135256
remaining_lease,0.15901606502402377
latitude,0.13326422325660925
longitude,0.11919490627321849
flat_type_5 ROOM,0.09240660411615398
flat_type_4 ROOM,0.07497097859018398
year,0.06759951604865488
flat_model_New Generation,0.06733573680874994
storey_range_numeric,0.06715603121300395
flat_type_EXECUTIVE,0.06208266296698639
flat_model_Maisonette,0.03494912599349398
flat_type_2 ROOM,0.0317813167358072
flat_model_Premium Apartment,0.03059148088241237
flat_model_Apartment,0.02173381957793641
flat_model_Model A,0.020179434636727667
storey_range_13 TO 15,0.01997562407492648
region_North-East,0.0194826039945748
town_SENGKANG,0.017202591886705587
flat_model_DBSS,0.01618629406379113
flat_model_Standard,0.01586256424116561
town_TOA PAYOH,0.01574509249640288
street_name_MACPHERSON LANE,0.01550641685458709
flat_model_Simplified,0.01474379533695469
town_QUEENSTOWN,0.01465617512211792
town_BUKIT MERAH,0.014074427100008169
block_119D,0.013960442960004427
town_PASIR RIS,0.013942621047207782
street_name_TOH YI DR,0.013563781094942717
town_PUNGGOL,0.013493040357084318
street_name_CANTONMENT RD,0.013321473727978983
block_201C,0.013308575624143115
region_North,0.013109244078123083
town_WOODLANDS,0.013103516548109706
block_353B,0.012783428490996007
street_name_TOH GUAN RD,0.012643087999153035
block_299B,0.012416570730568344
block_14,0.012370362970378412
block_455B,0.012337665130468967
block_266B,0.012174942800447397
street_name_JLN MEMBINA,0.01212111894457335
street_name_COMPASSVALE ST,0.0120183295639813
block_492C,0.011989426071455256
block_106A,0.011899447482803804
street_name_SERANGOON AVE 3,0.011883253504179292
street_name_STIRLING RD,0.011880846113518029
block_326,0.011779954437322937
block_488B,0.011657645490980917
block_308A,0.011653969142680465
street_name_WEST COAST DR,0.011543421328770398
block_10C,0.011440091284426357
town_YISHUN,0.011384930042090513
street_name_HENDERSON RD,0.011143720749232644
block_126B,0.01106410165599958
block_106D,0.011015927351462063
block_341A,0.011006542797291408
block_351C,0.010993289252184901
block_445B,0.010991119776275093
block_188,0.010969470525959757
block_886A,0.010959787085473627
block_56,0.0109592698150629
street_name_LOR 8 TOA PAYOH,0.010955828099567189
street_name_JURONG WEST ST 52,0.01078839955155142
block_29,0.01077885290490288
block_225,0.010721711416530999
block_301D,0.010708713773365464
block_314,0.010694175426108066
block_81,0.010657874296980507
block_309B,0.010635296506445124
street_name_LOR 6 TOA PAYOH,0.01061909251573745
block_771,0.01060086180981279
block_121,0.010545222264996656
block_672D,0.0104709614799674
block_264,0.01045185196343934
town_JURONG WEST,0.010433033902438549
block_719,0.010382178439691803
block_634,0.010363891517059631
street_name_CIRCUIT RD,0.010349963613075941
flat_model_Improved,0.010229903444502142
storey_range_31 TO 33,0.010211177334555677
street_name_PUNGGOL DR,0.010204690289383755
block_176D,0.010200729379882034
block_107,0.010130383903255824
block_287A,0.010037871698986178
block_86,0.010019566070757824
storey_range_25 TO 27,0.009992706456483091
block_462A,0.009825366821893056
block_849,0.009816921321925687
block_466,0.009804844782213884
block_408,0.009790066296114563
block_582,0.009769532405237369
street_name_ANG MO KIO ST 31,0.009722394255560207
block_50,0.009668183043387124
block_858,0.009662532658988532
block_502B,0.009639192516534667
street_name_ANG MO KIO ST 51,0.009622199649693464
block_828,0.009579544071604218
block_513C,0.00957896882422804
block_588D,0.009543543563701684
block_116C,0.009450771810865843
block_726,0.009442120988555791
block_361,0.009431105558081798
street_name_PASIR RIS ST 12,0.009392458325095943
block_796,0.009319407883738418
flat_model_Model A2,0.009302297203995558
block_70B,0.009262109904852212
block_217B,0.009256157933624554
street_name_YISHUN AVE 2,0.009238549281612496
block_531,0.009199504337826792
block_62A,0.009186320481081145
block_560,0.009161325013122612
block_670,0.009130639210320757
block_286D,0.009130120250286922
street_name_BOON LAY PL,0.009090957048144999
block_1E,0.009065858788500192
block_150,0.009009626742019883
block_175B,0.008985913623446251
block_986B,0.00898257390435342
block_892B,0.008943263836123094
block_473C,0.008928168679810389
town_SERANGOON,0.008908985458981222
block_160,0.008893084215183533
street_name_BT BATOK ST 25,0.008889221944254455
block_489D,0.008884067953276675
block_209,0.008847597136134588
block_432B,0.008837599409114327
block_749,0.008829564847432803
block_546,0.008805467565898395
storey_range_34 TO 36,0.00880411066132969
block_497D,0.008778594914317317
block_256C,0.008751663756686012
street_name_TAMPINES AVE 5,0.008735699868263724
block_745,0.008733459632488838
block_127C,0.008683270131175647
block_992B,0.008605144053920544
block_441,0.008589524321561015
block_525B,0.00857238836172658
block_261C,0.008569484970630814
block_205C,0.008555480581837749
street_name_LOR LIMAU,0.008548815370346352
block_195,0.008540302323225557
block_525A,0.008527811368372662
block_795,0.00850575872415793
block_810B,0.008485843938703885
block_678B,0.008478380291806031
block_21,0.008474594475603503
street_name_CHOA CHU KANG ST 62,0.008473644015348558
street_name_WOODLANDS ST 31,0.008437879109913338
block_878A,0.008431240894318348
block_767,0.00840653119815693
street_name_C'WEALTH CL,0.008406521645018428
block_422,0.008397955622808873
block_139B,0.008358768490764001
block_693C,0.008356937882238125
street_name_DELTA AVE,0.008299934554569344
block_663A,0.008272645632772413
town_BISHAN,0.008221270574071182
block_894C,0.008213747106091907
block_797,0.008198310429137656
block_665A,0.008191185656679645
