month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,full_address,latitude,longitude,hospitals_within_300m,malls_within_300m,polyclinics_within_300m,busStops_within_300m,MrtStns_within_300m,hospitals_within_500m,malls_within_500m,polyclinics_within_500m,busStops_within_500m,MrtStns_within_500m,hospitals_within_1000m,malls_within_1000m,polyclinics_within_1000m,busStops_within_1000m,MrtStns_within_1000m,hospitals_within_2000m,malls_within_2000m,polyclinics_within_2000m,busStops_within_2000m,MrtStns_within_2000m,Score
2017-01,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,61 years 04 months,232000.0,406 ANG MO KIO AVE 10,1.3620219,103.8538799,,,,"54311, 54319, 54321, 54371, 54379",,,,,"54091, 54099, 54311, 54319, 54321, 54329, 54369, 54371, 54379, 54381, 54531, 54539, 54601, 54609",,,,,"53241, 53249, 54079, 54081, 54089, 54091, 54099, 54101, 54109, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54311, 54319, 54321, 54329, 54331, 54339, 54369, 54371, 54379, 54381, 54389, 54531, 54539, 54601, 54609, 66181, 66191, 66201, 66211, 66291",ANG MO KIO MRT STATION,,"Junction 8, AMK Hub, Broadway Plaza, Jubilee Square, Junction 8, myVillage At Serangoon Garden",Ang Mo Kio Polyclinic,"53009, 53131, 53139, 53141, 53149, 53151, 53159, 53161, 53169, 53181, 53191, 53199, 53201, 53209, 53211, 53219, 53221, 53229, 53231, 53239, 53241, 53249, 53251, 53259, 53261, 53269, 53271, 53279, 53281, 53289, 53301, 53309, 53321, 53329, 53331, 53339, 53371, 53379, 53381, 53389, 53391, 53399, 53401, 53409, 53419, 53421, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54071, 54079, 54081, 54089, 54091, 54099, 54101, 54109, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54369, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54471, 54479, 54481, 54489, 54491, 54499, 54509, 54511, 54519, 54521, 54529, 54531, 54539, 54571, 54579, 54581, 54589, 54591, 54599, 54601, 54609, 54611, 54619, 54621, 54629, 54641, 55321, 66011, 66019, 66021, 66029, 66031, 66039, 66041, 66049, 66091, 66099, 66111, 66119, 66121, 66129, 66131, 66139, 66151, 66161, 66171, 66181, 66191, 66201, 66211, 66221, 66231, 66241, 66251, 66261, 66271, 66291, 66341, 66349, 66361, 66369, 66391, 66399, 66401, 66409","ANG MO KIO MRT STATION, BISHAN MRT STATION, LORONG CHUAN MRT STATION",42.82662692498758
2017-01,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,60 years 07 months,250000.0,108 ANG MO KIO AVE 4,1.3709152,103.8382463,,,,"54181, 54189, 54219, 54221, 54229",MAYFLOWER MRT STATION,,,,"54161, 54169, 54181, 54189, 54191, 54199, 54211, 54219, 54221, 54229, 54231",MAYFLOWER MRT STATION,,Broadway Plaza,Ang Mo Kio Polyclinic,"53331, 53339, 53341, 53349, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54061, 54069, 54161, 54169, 54181, 54189, 54191, 54199, 54201, 54209, 54211, 54219, 54221, 54229, 54231, 54239, 54241, 54248, 54451, 54459, 54461, 54469, 54611, 54619, 54621, 54629, 55111, 55119, 55139, 56241, 56249, 56251, 56259, 56261, 56269, 56289",MAYFLOWER MRT STATION,,"Thomson V, AMK Hub, Broadway Plaza, Jubilee Square",Ang Mo Kio Polyclinic,"53049, 53051, 53059, 53061, 53069, 53071, 53079, 53081, 53089, 53091, 53099, 53131, 53141, 53149, 53151, 53159, 53161, 53169, 53171, 53181, 53189, 53191, 53199, 53201, 53209, 53321, 53329, 53331, 53339, 53341, 53349, 53351, 53359, 53361, 53369, 53371, 53379, 53381, 53389, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54061, 54069, 54071, 54079, 54081, 54089, 54091, 54099, 54161, 54169, 54181, 54189, 54191, 54199, 54201, 54209, 54211, 54219, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54261, 54269, 54271, 54279, 54281, 54311, 54319, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54391, 54399, 54401, 54409, 54411, 54419, 54441, 54449, 54451, 54459, 54461, 54469, 54471, 54479, 54539, 54571, 54579, 54611, 54619, 54621, 54629, 55009, 55011, 55019, 55021, 55029, 55111, 55119, 55121, 55129, 55131, 55139, 55141, 55149, 55151, 55159, 55169, 55171, 55179, 55181, 55189, 55199, 55201, 55209, 55211, 55219, 55231, 55301, 55309, 55311, 55319, 55321, 55329, 55331, 55339, 55341, 55349, 55509, 56019, 56021, 56029, 56031, 56039, 56041, 56049, 56051, 56059, 56191, 56199, 56201, 56209, 56241, 56249, 56251, 56259, 56261, 56269, 56289","ANG MO KIO MRT STATION, YIO CHU KANG MRT STATION, LENTOR MRT STATION, MAYFLOWER MRT STATION, BRIGHT HILL MRT STATION, UPPER THOMSON MRT STATION",54.59960258320914
2017-01,ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,262000.0,602 ANG MO KIO AVE 5,1.3807446,103.8353497,,,,"55011, 55019, 55121, 55129",,,,,"55011, 55019, 55119, 55121, 55129, 55131, 55141, 55149, 55341, 55349, 56201, 56209, 56251, 56259",LENTOR MRT STATION,,,,"54191, 54199, 54201, 54209, 54451, 54459, 54461, 54469, 55011, 55019, 55021, 55029, 55111, 55119, 55121, 55129, 55131, 55139, 55141, 55149, 55151, 55159, 55169, 55171, 55179, 55181, 55189, 55199, 55331, 55339, 55341, 55349, 55371, 56031, 56039, 56041, 56049, 56191, 56199, 56201, 56209, 56249, 56251, 56259","LENTOR MRT STATION, MAYFLOWER MRT STATION",,"AMK Hub, Broadway Plaza, Jubilee Square",Ang Mo Kio Polyclinic,"53091, 53099, 53331, 53339, 53341, 53349, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54061, 54069, 54161, 54169, 54181, 54189, 54191, 54199, 54201, 54209, 54211, 54219, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54341, 54349, 54351, 54359, 54391, 54399, 54441, 54449, 54451, 54459, 54461, 54469, 54611, 54619, 54621, 54629, 55009, 55011, 55019, 55021, 55029, 55031, 55039, 55041, 55049, 55051, 55059, 55111, 55119, 55121, 55129, 55131, 55139, 55141, 55149, 55151, 55159, 55169, 55171, 55179, 55181, 55189, 55199, 55201, 55209, 55211, 55219, 55221, 55229, 55231, 55239, 55241, 55249, 55251, 55259, 55261, 55269, 55271, 55279, 55301, 55309, 55311, 55319, 55321, 55329, 55331, 55339, 55341, 55349, 55351, 55361, 55371, 55381, 55509, 56019, 56021, 56029, 56031, 56039, 56041, 56049, 56051, 56059, 56061, 56069, 56071, 56079, 56191, 56199, 56201, 56209, 56241, 56249, 56251, 56259, 56261, 56269, 56289","YIO CHU KANG MRT STATION, LENTOR MRT STATION, MAYFLOWER MRT STATION, BRIGHT HILL MRT STATION",49.62940884252359
2017-01,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1980,62 years 01 month,265000.0,465 ANG MO KIO AVE 10,1.3662437,103.8570767,,,,"54381, 54389",,,,,"54281, 54289, 54291, 54299, 54371, 54379, 54381, 54389, 54429, 66211",,,myVillage At Serangoon Garden,,"54091, 54099, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54369, 54371, 54379, 54381, 54389, 54401, 54409, 54411, 54419, 54429, 54439, 54511, 54519, 54571, 54579, 54581, 54589, 54601, 54609, 66181, 66191, 66201, 66211, 66221, 66231, 66241, 66291",ANG MO KIO MRT STATION,,"AMK Hub, Broadway Plaza, Jubilee Square, myVillage At Serangoon Garden",Ang Mo Kio Polyclinic,"53009, 53151, 53159, 53161, 53169, 53231, 53239, 53241, 53249, 53261, 53269, 53271, 53279, 53321, 53329, 53371, 53379, 53381, 53389, 53391, 53399, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54071, 54079, 54081, 54089, 54091, 54099, 54101, 54109, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54369, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54461, 54469, 54471, 54479, 54481, 54489, 54491, 54499, 54501, 54509, 54511, 54519, 54521, 54529, 54531, 54539, 54571, 54579, 54581, 54589, 54591, 54599, 54601, 54609, 54611, 54619, 54631, 54641, 54651, 54659, 55201, 55209, 55321, 55329, 63179, 63181, 63189, 63191, 63199, 63201, 66021, 66029, 66031, 66039, 66041, 66049, 66091, 66099, 66101, 66109, 66111, 66119, 66121, 66129, 66131, 66139, 66141, 66149, 66151, 66161, 66171, 66181, 66191, 66201, 66211, 66221, 66231, 66241, 66251, 66261, 66271, 66291, 66301, 66309, 66311, 66319, 66321, 66329, 66331, 66339, 66341, 66349, 66361, 66369, 66391, 66399, 66421, 66429, 66451, 66509, 66511, 66599","ANG MO KIO MRT STATION, BISHAN MRT STATION, LORONG CHUAN MRT STATION",45.75062096373571
2017-01,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,01 TO 03,67.0,New Generation,1980,62 years 05 months,265000.0,601 ANG MO KIO AVE 5,1.3810741,103.8351352,,,,"55011, 55019, 55121, 55129",,,,,"55011, 55019, 55121, 55129, 55141, 55149, 55341, 55349, 56201, 56209, 56259",LENTOR MRT STATION,,,,"54191, 54199, 54201, 54209, 54451, 54459, 55011, 55019, 55021, 55029, 55111, 55119, 55121, 55129, 55131, 55139, 55141, 55149, 55151, 55159, 55169, 55171, 55179, 55181, 55189, 55199, 55331, 55339, 55341, 55349, 55351, 55371, 55381, 56031, 56039, 56041, 56049, 56191, 56199, 56201, 56209, 56249, 56251, 56259",LENTOR MRT STATION,,"AMK Hub, Broadway Plaza, Jubilee Square",Ang Mo Kio Polyclinic,"53091, 53099, 53341, 53349, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54061, 54069, 54161, 54169, 54181, 54189, 54191, 54199, 54201, 54209, 54211, 54219, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54341, 54349, 54351, 54359, 54391, 54399, 54441, 54449, 54451, 54459, 54461, 54469, 54611, 54619, 54621, 54629, 55009, 55011, 55019, 55021, 55029, 55031, 55039, 55041, 55049, 55051, 55059, 55111, 55119, 55121, 55129, 55131, 55139, 55141, 55149, 55151, 55159, 55169, 55171, 55179, 55181, 55189, 55199, 55201, 55209, 55211, 55219, 55221, 55229, 55231, 55239, 55241, 55249, 55251, 55259, 55261, 55269, 55271, 55279, 55301, 55309, 55311, 55319, 55321, 55329, 55331, 55339, 55341, 55349, 55351, 55361, 55371, 55381, 55509, 56019, 56021, 56029, 56031, 56039, 56041, 56049, 56051, 56059, 56061, 56069, 56071, 56079, 56191, 56199, 56201, 56209, 56241, 56249, 56251, 56259, 56261, 56269, 56289","YIO CHU KANG MRT STATION, LENTOR MRT STATION, MAYFLOWER MRT STATION, BRIGHT HILL MRT STATION",49.62940884252359
2017-01,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,01 TO 03,68.0,New Generation,1981,63 years,275000.0,150 ANG MO KIO AVE 5,1.3768324,103.8420086,,,,"54209, 54451, 54459, 54461, 54469",,,,Ang Mo Kio Polyclinic,"54041, 54051, 54059, 54201, 54209, 54251, 54259, 54451, 54459, 54461, 54469, 55111, 55119, 55131, 55139, 55199, 55201, 55209",,,"Broadway Plaza, Jubilee Square",Ang Mo Kio Polyclinic,"54031, 54039, 54041, 54049, 54051, 54059, 54181, 54189, 54191, 54199, 54201, 54209, 54221, 54229, 54231, 54239, 54241, 54251, 54259, 54341, 54349, 54351, 54359, 54391, 54399, 54451, 54459, 54461, 54469, 55011, 55019, 55111, 55119, 55121, 55129, 55131, 55139, 55141, 55149, 55151, 55159, 55169, 55171, 55179, 55181, 55189, 55199, 55201, 55209, 55301, 55309, 55311, 55319, 55321, 55329, 55509, 56251, 56259","YIO CHU KANG MRT STATION, MAYFLOWER MRT STATION",,"AMK Hub, Broadway Plaza, Jubilee Square",Ang Mo Kio Polyclinic,"53099, 53151, 53159, 53161, 53169, 53201, 53209, 53321, 53329, 53331, 53339, 53341, 53349, 53371, 53379, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54061, 54069, 54071, 54079, 54081, 54089, 54091, 54161, 54169, 54181, 54189, 54191, 54199, 54201, 54209, 54211, 54219, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54261, 54269, 54271, 54279, 54281, 54289, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54451, 54459, 54461, 54469, 54471, 54479, 54481, 54489, 54571, 54579, 54581, 54589, 54611, 54619, 54621, 54629, 55009, 55011, 55019, 55021, 55029, 55031, 55039, 55041, 55049, 55051, 55059, 55111, 55119, 55121, 55129, 55131, 55139, 55141, 55149, 55151, 55159, 55169, 55171, 55179, 55181, 55189, 55199, 55201, 55209, 55211, 55219, 55221, 55229, 55231, 55239, 55241, 55249, 55251, 55259, 55261, 55269, 55301, 55309, 55311, 55319, 55321, 55329, 55331, 55339, 55341, 55349, 55351, 55361, 55371, 55381, 55509, 56019, 56021, 56029, 56031, 56039, 56041, 56049, 56051, 56059, 56191, 56199, 56201, 56209, 56241, 56249, 56251, 56259, 56261, 56269, 56289","ANG MO KIO MRT STATION, YIO CHU KANG MRT STATION, LENTOR MRT STATION, MAYFLOWER MRT STATION, BRIGHT HILL MRT STATION",48.76552409339295
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,61 years 06 months,280000.0,447 ANG MO KIO AVE 10,1.3675155,103.8559096,,,,"54281, 54289, 54381, 54389",,,,,"54271, 54279, 54281, 54289, 54291, 54299, 54381, 54389, 54429, 54581, 54589",,,AMK Hub,,"54009, 54081, 54089, 54091, 54099, 54247, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54369, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54479, 54481, 54489, 54511, 54519, 54571, 54579, 54581, 54589, 54601, 54609, 66191, 66201, 66211, 66221, 66231, 66291",ANG MO KIO MRT STATION,,"AMK Hub, Broadway Plaza, Jubilee Square, myVillage At Serangoon Garden",Ang Mo Kio Polyclinic,"53151, 53159, 53161, 53169, 53241, 53249, 53261, 53269, 53279, 53321, 53329, 53371, 53379, 53381, 53389, 53391, 53399, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54071, 54079, 54081, 54089, 54091, 54099, 54101, 54109, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54369, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54459, 54461, 54469, 54471, 54479, 54481, 54489, 54491, 54499, 54501, 54509, 54511, 54519, 54521, 54529, 54531, 54539, 54571, 54579, 54581, 54589, 54591, 54599, 54601, 54609, 54611, 54619, 54631, 54641, 54651, 54659, 55199, 55201, 55209, 55321, 55329, 55509, 66021, 66031, 66039, 66049, 66091, 66099, 66101, 66111, 66119, 66121, 66129, 66131, 66139, 66141, 66149, 66151, 66161, 66171, 66181, 66191, 66201, 66211, 66221, 66231, 66241, 66251, 66261, 66271, 66291, 66301, 66309, 66321, 66329, 66331, 66339, 66341, 66349, 66399, 66429, 66451, 66509, 66599","ANG MO KIO MRT STATION, YIO CHU KANG MRT STATION, LORONG CHUAN MRT STATION",45.735717834078486
2017-01,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1976,58 years 04 months,285000.0,218 ANG MO KIO AVE 1,1.3651871,103.8416028,,,,"54011, 54611, 54619",,,,,"53161, 53169, 53321, 53329, 54011, 54019, 54071, 54079, 54231, 54239, 54611, 54619, 54621, 54629",,,"AMK Hub, Broadway Plaza",,"53151, 53159, 53161, 53169, 53191, 53199, 53201, 53209, 53321, 53329, 53331, 53339, 53341, 53349, 53371, 53379, 53381, 53389, 54009, 54011, 54019, 54031, 54039, 54041, 54061, 54069, 54071, 54079, 54081, 54089, 54161, 54169, 54181, 54189, 54211, 54219, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54611, 54619, 54621, 54629","MAYFLOWER MRT STATION, BRIGHT HILL MRT STATION",,"Junction 8, Thomson Plaza, Thomson V, AMK Hub, Broadway Plaza, Jubilee Square, Junction 8",Ang Mo Kio Polyclinic,"53009, 53021, 53029, 53039, 53041, 53049, 53051, 53059, 53061, 53069, 53071, 53079, 53081, 53089, 53091, 53099, 53121, 53129, 53131, 53139, 53141, 53149, 53151, 53159, 53161, 53169, 53171, 53179, 53181, 53189, 53191, 53199, 53201, 53209, 53231, 53239, 53241, 53249, 53261, 53269, 53291, 53299, 53301, 53309, 53319, 53321, 53329, 53331, 53339, 53341, 53349, 53351, 53359, 53361, 53369, 53371, 53379, 53381, 53389, 53391, 53399, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54061, 54069, 54071, 54079, 54081, 54089, 54091, 54099, 54101, 54109, 54161, 54169, 54181, 54189, 54191, 54199, 54201, 54209, 54211, 54219, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54311, 54319, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54369, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54451, 54459, 54461, 54469, 54471, 54479, 54481, 54489, 54531, 54539, 54571, 54579, 54581, 54589, 54601, 54609, 54611, 54619, 54621, 54629, 55019, 55111, 55119, 55121, 55129, 55131, 55139, 55141, 55149, 55169, 55181, 55189, 55199, 55201, 55209, 55321, 55329, 55509, 56019, 56021, 56029, 56031, 56039, 56199, 56209, 56241, 56249, 56251, 56259, 56261, 56269, 56289","ANG MO KIO MRT STATION, YIO CHU KANG MRT STATION, BISHAN MRT STATION, MARYMOUNT MRT STATION, MAYFLOWER MRT STATION, BRIGHT HILL MRT STATION, UPPER THOMSON MRT STATION",45.56979632389469
2017-01,ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1979,61 years 06 months,285000.0,447 ANG MO KIO AVE 10,1.3675155,103.8559096,,,,"54281, 54289, 54381, 54389",,,,,"54271, 54279, 54281, 54289, 54291, 54299, 54381, 54389, 54429, 54581, 54589",,,AMK Hub,,"54009, 54081, 54089, 54091, 54099, 54247, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54369, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54479, 54481, 54489, 54511, 54519, 54571, 54579, 54581, 54589, 54601, 54609, 66191, 66201, 66211, 66221, 66231, 66291",ANG MO KIO MRT STATION,,"AMK Hub, Broadway Plaza, Jubilee Square, myVillage At Serangoon Garden",Ang Mo Kio Polyclinic,"53151, 53159, 53161, 53169, 53241, 53249, 53261, 53269, 53279, 53321, 53329, 53371, 53379, 53381, 53389, 53391, 53399, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54071, 54079, 54081, 54089, 54091, 54099, 54101, 54109, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54369, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54459, 54461, 54469, 54471, 54479, 54481, 54489, 54491, 54499, 54501, 54509, 54511, 54519, 54521, 54529, 54531, 54539, 54571, 54579, 54581, 54589, 54591, 54599, 54601, 54609, 54611, 54619, 54631, 54641, 54651, 54659, 55199, 55201, 55209, 55321, 55329, 55509, 66021, 66031, 66039, 66049, 66091, 66099, 66101, 66111, 66119, 66121, 66129, 66131, 66139, 66141, 66149, 66151, 66161, 66171, 66181, 66191, 66201, 66211, 66221, 66231, 66241, 66251, 66261, 66271, 66291, 66301, 66309, 66321, 66329, 66331, 66339, 66341, 66349, 66399, 66429, 66451, 66509, 66599","ANG MO KIO MRT STATION, YIO CHU KANG MRT STATION, LORONG CHUAN MRT STATION",45.735717834078486
2017-01,ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1979,61 years 04 months,285000.0,571 ANG MO KIO AVE 3,1.3700064,103.8549834,,,,"54271, 54279, 54281, 54289, 54411, 54419, 54581, 54589",,,,,"54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54381, 54389, 54401, 54409, 54411, 54419, 54429, 54439, 54571, 54581, 54589",,,"AMK Hub, Jubilee Square",,"54009, 54241, 54247, 54248, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54471, 54479, 54481, 54489, 54491, 54499, 54511, 54519, 54521, 54529, 54571, 54579, 54581, 54589, 54591, 54599, 66211, 66221, 66291",ANG MO KIO MRT STATION,,"AMK Hub, Broadway Plaza, Jubilee Square, myVillage At Serangoon Garden",Ang Mo Kio Polyclinic,"53151, 53159, 53161, 53169, 53241, 53249, 53261, 53269, 53321, 53329, 53371, 53379, 53381, 53389, 53391, 53399, 54009, 54011, 54019, 54031, 54039, 54041, 54049, 54051, 54059, 54071, 54079, 54081, 54089, 54091, 54099, 54101, 54109, 54191, 54199, 54201, 54209, 54221, 54229, 54231, 54239, 54241, 54247, 54248, 54251, 54259, 54261, 54269, 54271, 54279, 54281, 54289, 54291, 54299, 54301, 54309, 54311, 54319, 54321, 54329, 54331, 54339, 54341, 54349, 54351, 54359, 54369, 54371, 54379, 54381, 54389, 54391, 54399, 54401, 54409, 54411, 54419, 54429, 54439, 54441, 54449, 54451, 54459, 54461, 54469, 54471, 54479, 54481, 54489, 54491, 54499, 54501, 54509, 54511, 54519, 54521, 54529, 54531, 54539, 54571, 54579, 54581, 54589, 54591, 54599, 54601, 54609, 54611, 54619, 54621, 54629, 54631, 54641, 54651, 54659, 55009, 55139, 55169, 55181, 55189, 55199, 55201, 55209, 55231, 55301, 55309, 55311, 55319, 55321, 55329, 55509, 66091, 66099, 66111, 66121, 66129, 66131, 66139, 66151, 66161, 66171, 66181, 66191, 66201, 66211, 66221, 66231, 66241, 66251, 66261, 66271, 66291, 66301, 66309, 66329, 66331, 66339, 66341, 66349, 66429, 66451, 66459, 66509, 66599","ANG MO KIO MRT STATION, YIO CHU KANG MRT STATION",45.61450571286637
