Model,R² Score,RMSE,MSE,MAE,Prediction Loss %
Decision,0.8701352695110558,60009.04343653375,3601085294.167794,40872.10590882179,8.368966783158642
Decision Tree GridSearchCV,0.8810345372422225,57435.65046815724,3298853944.700331,38937.17895975728,7.972771407254014
XG with GridSearch,0.9498338502096748,37297.22152532166,1391082733.5089169,26133.186149348727,5.351027600826297
XG,0.94595900848189,38710.85370407963,1498530194.4986558,27413.71951321048,5.613229436249031
KNN with GridSearch,0.9057533598139514,51121.552365463336,2613413116.25481,34805.140365347404,7.12669575310276
KNN,0.883057938691232,56945.114055051396,3242746014.742812,38346.68541385436,7.851862030028495
Linear Regression,0.862603181453552,61724.76328396923,3809946402.462036,48092.026351665045,9.847316699798526
RandomForest_GridSearch,0.9312222740467552,43671.187456641856,1907172613.8731532,29655.970186672177,6.072352375683032
RandomForest,0.9290497768869423,44355.55089026158,1967414894.778584,29697.01416963968,6.080756535989082
Stacking Regressor,0.9472377739230472,38250.106612775824,1463070655.888717,27024.71986937537,5.533577922691617
